Virtual Address: 16916; Physical Address: 20; Value: 0
Virtual Address: 62493; Physical Address: 285; Value: 0
Virtual Address: 30198; Physical Address: 758; Value: 29
Virtual Address: 53683; Physical Address: 947; Value: 108
Virtual Address: 40185; Physical Address: 1273; Value: 0
Virtual Address: 28781; Physical Address: 1389; Value: 0
Virtual Address: 24462; Physical Address: 1678; Value: 23
Virtual Address: 48399; Physical Address: 1807; Value: 67
Virtual Address: 64815; Physical Address: 2095; Value: 75
Virtual Address: 18295; Physical Address: 2423; Value: 4294967261
Virtual Address: 12218; Physical Address: 2746; Value: 11
Virtual Address: 22760; Physical Address: 3048; Value: 0
Virtual Address: 57982; Physical Address: 3198; Value: 56
Virtual Address: 27966; Physical Address: 3390; Value: 27
Virtual Address: 54894; Physical Address: 3694; Value: 53
Virtual Address: 38929; Physical Address: 3857; Value: 0
Virtual Address: 32865; Physical Address: 4193; Value: 0
Virtual Address: 64243; Physical Address: 4595; Value: 4294967228
Virtual Address: 2315; Physical Address: 4619; Value: 66
Virtual Address: 64454; Physical Address: 5062; Value: 62
Virtual Address: 55041; Physical Address: 5121; Value: 0
Virtual Address: 18633; Physical Address: 5577; Value: 0
Virtual Address: 14557; Physical Address: 5853; Value: 0
Virtual Address: 61006; Physical Address: 5966; Value: 59
Virtual Address: 62615; Physical Address: 6295; Value: 37
Virtual Address: 7591; Physical Address: 6567; Value: 105
Virtual Address: 64747; Physical Address: 6891; Value: 58
Virtual Address: 6727; Physical Address: 6983; Value: 4294967185
Virtual Address: 32315; Physical Address: 7227; Value: 4294967182
Virtual Address: 60645; Physical Address: 7653; Value: 0
Virtual Address: 6308; Physical Address: 7844; Value: 0
Virtual Address: 45688; Physical Address: 8056; Value: 0
Virtual Address: 969; Physical Address: 8393; Value: 0
Virtual Address: 40891; Physical Address: 8635; Value: 4294967278
Virtual Address: 49294; Physical Address: 8846; Value: 48
Virtual Address: 41118; Physical Address: 9118; Value: 40
Virtual Address: 21395; Physical Address: 9363; Value: 4294967268
Virtual Address: 6091; Physical Address: 9675; Value: 4294967282
Virtual Address: 32541; Physical Address: 9757; Value: 0
Virtual Address: 17665; Physical Address: 9985; Value: 0
Virtual Address: 3784; Physical Address: 10440; Value: 0
Virtual Address: 28718; Physical Address: 10542; Value: 28
Virtual Address: 59240; Physical Address: 10856; Value: 0
Virtual Address: 40178; Physical Address: 11250; Value: 39
Virtual Address: 60086; Physical Address: 11446; Value: 58
Virtual Address: 42252; Physical Address: 11532; Value: 0
Virtual Address: 44770; Physical Address: 12002; Value: 43
Virtual Address: 22514; Physical Address: 12274; Value: 21
Virtual Address: 3067; Physical Address: 12539; Value: 4294967294
Virtual Address: 15757; Physical Address: 12685; Value: 0
Virtual Address: 31649; Physical Address: 12961; Value: 0
Virtual Address: 10842; Physical Address: 13146; Value: 10
Virtual Address: 43765; Physical Address: 13557; Value: 0
Virtual Address: 33405; Physical Address: 13693; Value: 0
Virtual Address: 44954; Physical Address: 13978; Value: 43
Virtual Address: 56657; Physical Address: 14161; Value: 0
Virtual Address: 5003; Physical Address: 14475; Value: 4294967266
Virtual Address: 50227; Physical Address: 14643; Value: 12
Virtual Address: 19358; Physical Address: 15006; Value: 18
Virtual Address: 36529; Physical Address: 15281; Value: 0
Virtual Address: 10392; Physical Address: 15512; Value: 0
Virtual Address: 58882; Physical Address: 15618; Value: 57
Virtual Address: 5129; Physical Address: 15881; Value: 0
Virtual Address: 58554; Physical Address: 16314; Value: 57
Virtual Address: 58584; Physical Address: 16344; Value: 0
Virtual Address: 27444; Physical Address: 16436; Value: 0
Virtual Address: 58982; Physical Address: 15718; Value: 57
Virtual Address: 51476; Physical Address: 16660; Value: 0
Virtual Address: 6796; Physical Address: 17036; Value: 0
Virtual Address: 21311; Physical Address: 17215; Value: 4294967247
Virtual Address: 30705; Physical Address: 17649; Value: 0
Virtual Address: 28964; Physical Address: 17700; Value: 0
Virtual Address: 41003; Physical Address: 17963; Value: 10
Virtual Address: 20259; Physical Address: 18211; Value: 4294967240
Virtual Address: 57857; Physical Address: 18433; Value: 0
Virtual Address: 63258; Physical Address: 18714; Value: 61
Virtual Address: 36374; Physical Address: 15126; Value: 35
Virtual Address: 692; Physical Address: 19124; Value: 0
Virtual Address: 43121; Physical Address: 19313; Value: 0
Virtual Address: 48128; Physical Address: 19456; Value: 0
Virtual Address: 34561; Physical Address: 19713; Value: 0
Virtual Address: 49213; Physical Address: 20029; Value: 0
Virtual Address: 36922; Physical Address: 20282; Value: 36
Virtual Address: 59162; Physical Address: 20506; Value: 57
Virtual Address: 50552; Physical Address: 20856; Value: 0
Virtual Address: 17866; Physical Address: 21194; Value: 17
Virtual Address: 18145; Physical Address: 21473; Value: 0
Virtual Address: 3884; Physical Address: 21548; Value: 0
Virtual Address: 54388; Physical Address: 21876; Value: 0
Virtual Address: 42932; Physical Address: 22196; Value: 0
Virtual Address: 46919; Physical Address: 22343; Value: 4294967249
Virtual Address: 58892; Physical Address: 22540; Value: 0
Virtual Address: 8620; Physical Address: 22956; Value: 0
Virtual Address: 38336; Physical Address: 23232; Value: 0
Virtual Address: 64357; Physical Address: 23397; Value: 0
Virtual Address: 23387; Physical Address: 23643; Value: 4294967254
Virtual Address: 42632; Physical Address: 23944; Value: 0
Virtual Address: 15913; Physical Address: 24105; Value: 0
Virtual Address: 15679; Physical Address: 24383; Value: 79
Virtual Address: 22501; Physical Address: 24805; Value: 0
Virtual Address: 37540; Physical Address: 24996; Value: 0
Virtual Address: 5527; Physical Address: 25239; Value: 101
Virtual Address: 63921; Physical Address: 25521; Value: 0
Virtual Address: 62716; Physical Address: 25852; Value: 0
Virtual Address: 32874; Physical Address: 25962; Value: 32
